CodeINSEE,Code postal,fra,bre
22110,22300,Lanmérin,Lanvilin
22111,22610,Lanmodez,Lanvaodez
22112,22290,Lannebert,Lannebeur
22113,22300,Lannion,Lannuon
22114,22250,Lanrelas,Lanrelaz
22115,22480,Lanrivain,Larruen
22116,22170,Lanrodec,Lanrodeg
22117,22410,Lantic,Lannidig
22118,22100,Lanvallay,Lanvalae
22119,22420,Lanvellec,Lanvaeleg
22121,22290,Lanvollon,Lannolon
22122,22230,Laurenan,Lanreunan
22124,22570,Lescouët-Gouarec,Leskoed-Gwareg
22126,22800,Le Leslay,Al Leslae
22127,22740,Lézardrieux,Lezardrev
22128,22340,Locarn,Lokarn
22129,22810,Loc-Envel,Lokenvel
22131,22780,Loguivy-Plougras,Logivi-Plougraz
22132,22160,Lohuec,Lohueg
22133,22230,Loscouët-sur-Meu,Loskoed-ar-Mozon
22134,22700,Louannec,Louaneg
22135,22540,Louargat,Louergad
22136,22600,Loudéac,Loudieg
22137,22340,Maël-Carhaix,Mêl-Karaez
22138,22160,Maël-Pestivien,Mael-Pestivien
22139,22480,Magoar,Magor
22140,22640,La Malhoure,Lanvelor
22141,22450,Mantallot,Mantallod
22143,22550,Matignon,Matignon
22144,22440,La Méaugon,Lanvealgon
22145,22270,Mégrit,Megrid
22146,22110,Mellionnec,Melioneg
22147,22230,Merdrignac,Medrigneg
22148,22230,Mérillac,Merelieg
22149,22460,Merléac,Merleag
22150,22200,Le Merzer,Ar Merzher(-Gwengamp)
22152,22220,Minihy-Tréguier,Ar Vinic'hi
22153,22510,Moncontour,Monkontour
22155,22600,La Motte,Ar Voudenn
22156,22200,Moustéru,Mousteruz
22157,22340,Le Moustoir,Ar Vouster
22160,22400,Noyal,Noual-Pentevr
22161,22200,Pabu,Pabu
22162,22500,Paimpol,Pempoull
22163,22340,Paule,Paoul
22164,22540,Pédernec,Pederneg
22165,22510,Penguily,Pengilli
22166,22710,Penvénan,Perwenan
22168,22700,Perros-Guirec,Perroz-Gireg
22169,22480,Peumerit-Quintin,Purid-Kintin
22170,22800,Plaine-Haute,Plenaod
22171,22940,Plaintel,Pleneventer
22172,22130,Plancoët,Plangoed
22174,22550,Pléboulle,Pleboull
22175,22270,Plédéliac,Pledeliav
22176,22960,Plédran,Pledran
22177,22290,Pléguien,Plian
22178,22290,Pléhédel,Plehedel
22179,22240,Fréhel,Frehel
22180,22980,Plélan-le-Petit,Plelann-Vihan
22181,22570,Plélauff,Pellann
22182,22170,Plélo,Pleuloc'h
22184,22150,Plémy,Plevig
22185,22640,Plénée-Jugon,Plened-Yugon
22186,22370,Pléneuf-Val-André,Pleneg-Nantraezh
22187,22190,Plérin,Plerin
22188,22170,Plerneuf,Plerneg
22189,22720,Plésidy,Plijidi
22190,22490,Pleslin-Trigavou,Plelin-Tregavoù
22193,22640,Plestan,Plestan
22194,22310,Plestin-les-Grèves,Plistin
22195,22610,Pleubian,Pleuvihan
22196,22740,Pleudaniel,Planiel
22197,22690,Pleudihen-sur-Rance,Pleudehen
22198,22560,Pleumeur-Bodou,Pleuveur-Bodoù
22199,22740,Pleumeur-Gautier,Pleuveur-Gaoter
22200,22130,Pléven,Pleven
22201,22240,Plévenon,Plevenon
22202,22340,Plévin,Plevin
22204,22260,Ploëzal,Pleuzal
22205,22130,Plorec-sur-Arguenon,Ploareg
22207,22420,Plouaret,Plouared
22208,22830,Plouasne,Plouan
22210,22620,Ploubazlanec,Plaeraneg
22211,22300,Ploubezre,Ploubêr
22212,22260,Plouëc-du-Trieux,Ploueg-Pontrev
22213,22490,Plouër-sur-Rance,Plouhern
22214,22470,Plouézec,Ploueg-ar-Mor
22215,22440,Ploufragan,Ploufragan
22216,22810,Plougonver,Plougonveur
22217,22780,Plougras,Plougraz
22218,22820,Plougrescant,Plougouskant
22220,22110,Plouguernével,Plougernevel
22221,22220,Plouguiel,Priel
22222,22580,Plouha,Plouha
22223,22200,Plouisy,Plouizi
22224,22300,Ploulec'h,Ploulec'h
22225,22970,Ploumagoar,Plouvagor
22226,22300,Ploumilliau,Plouilio
22227,22780,Plounérin,Plounerin
22228,22810,Plounévez-Moëdec,Plounevez-Moedeg
22229,22110,Plounévez-Quintin,Plounevez-Kintin
22231,22160,Plourac'h,Plourac'h
22232,22410,Plourhan,Plourc'han
22233,22860,Plourivo,Plourivoù
22234,22170,Plouvara,Plouvara
22235,22420,Plouzélambre,Plouzelambr
22236,22290,Pludual,Plua
22237,22130,Pluduno,Pludunoù
22238,22310,Plufur,Plufur
22239,22350,Plumaudan,Pluvaodan
22240,22250,Plumaugat,Pluvaelgad
22241,22210,Plumieux,Pluvaeg
22242,22240,Plurien,Plurien
22243,22160,Plusquellec,Pluskelleg
22244,22320,Plussulien,Plusulian
22245,22140,Pluzunet,Plûned
22246,22120,Pommeret,Peuñvrid
22248,22200,Pommerit-le-Vicomte,Pañvrid-ar-Beskont
22249,22390,Pont-Melvez,Pont-Melvez
22250,22260,Pontrieux,Pontrev
22254,22140,Prat,Prad
22255,22210,La Prénessaye,Perenezeg
22256,22260,Quemper-Guézennec,Kemper-Gwezhenneg
22257,22450,Quemperven,Kemperven
22258,22120,Quessoy,Kesoue
22259,22100,Quévert,Kever
22260,22460,Le Quillio,Ar C'hillioù
22261,22400,Quintenic,Kistenid
22262,22800,Quintin,Kintin
22263,22630,Le Quiou,Ar C'haeoù
22265,22300,Rospez,Rospezh
22266,22110,Rostrenen,Rostrenenn
22267,22250,Rouillac,Rioleg
22268,22550,Ruca,Ruskad
22269,22260,Runan,Runan
22271,22390,Saint-Adrien,Sant-Rien
22272,22200,Saint-Agathon,Sant-Eganton
22273,22400,Saint-Alban,Sant-Alvan
