CodeINSEE,Code postal,fra,bre
29280,29560,Telgruc-sur-Mer,Terrug
29281,29140,Tourc'h,Tourc'h
29282,29217,Trébabu,Trebabu
29284,29730,Treffiagat,Triagad
29285,29440,Tréflaouénan,Trelaouenan
29286,29800,Tréflévénez,Trelevenez
29287,29430,Tréflez,Trelez
29288,29260,Trégarantec,Tregaranteg
29289,29560,Trégarvan,Tregarvan
29290,29870,Tréglonou,Treglonoù
29291,29970,Trégourez,Tregourez
29292,29720,Tréguennec,Tregeneg
29293,29910,Trégunc,Tregon
29294,29450,Le Tréhou,An Treoù-Leon
29295,29800,Trémaouézan,Tremaouezan
29296,29120,Tréméoc,Tremeog
29297,29300,Tréméven,Tremeven(-Kemperle)
29298,29720,Tréogat,Trêgad
29299,29290,Tréouergat,Treouergad
29300,29380,Le Trévoux,An Treoù-Kerne
29301,29440,Trézilidé,Trezilide
29302,29590,Pont-de-Buis-lès-Quimerc'h,Pont-ar-Veuzenn-Kimerc'h
35001,35690,Acigné,Egineg
35002,35150,Amanlis,Amanliz
35003,35250,Andouillé-Neuville,Andolieg-Kernevez
35005,35130,Arbrissel,Ervrezhell
35006,35370,Argentré-du-Plessis,Argantred-ar-Genkiz
35007,35250,Aubigné,Elvinieg
35008,35130,Availles-sur-Seiche,Avallod-ar-Sec'h
35009,35120,Baguer-Morvan,Bagar-Morvan
35010,35120,Baguer-Pican,Bagar-Bihan
35012,35470,Bain-de-Bretagne,Baen-Veur
35013,35600,Bains-sur-Oust,Baen-Ballon
35014,35680,Bais,Baez
35015,35500,Balazé,Belezeg
35016,35580,Baulon,Beloen
35017,35190,La Baussaine,Baosan
35018,35420,La Bazouge-du-Désert,Bazeleg-an-Dezerzh
35019,35560,Bazouges-la-Pérouse,Bazeleg-ar-Veineg
35021,35133,Beaucé,Belzeg
35022,35190,Bécherel,Begerel
35023,35137,Bédée,Bezeg
35024,35830,Betton,Lanvezhon
35025,35133,Billé,Bilieg
35026,35750,Bléruais,Blerwaz
35027,35360,Boisgervilly,Koad-Yarnvili
35028,35150,Boistrudan,Koetruzan
35029,35270,Bonnemain,Bonmaen
35030,35320,La Bosse-de-Bretagne,Bosenn
35031,35340,La Bouëxière,Beuzid-ar-C'hoadoù
35032,35230,Bourgbarré,Bourvarred
35033,35890,Bourg-des-Comptes,Gwikomm
35034,35120,La Boussac,Labouseg
35035,35330,Bovel,Bovel
35037,35310,Bréal-sous-Montfort,Breal-Moñforzh
35038,35370,Bréal-sous-Vitré,Breal-Gwitreg
35039,35530,Brécé,Brec'heg
35040,35160,Breteil,Brezhiel
35041,35150,Brie,Brev
35042,35370,Brielles,Brielloù
35044,35120,Broualan,Broualan
35045,35550,Bruc-sur-Aff,Brug
35046,35330,Les Brulais,Ar Brugeier
35047,35170,Bruz,Bruz
35049,35260,Cancale,Kankaven
35050,35190,Cardroc,Kerdreg
35051,35510,Cesson-Sévigné,Saozon-Sevigneg
35052,35500,Champeaux,Kampal
35054,35150,Chanteloup,Kantlou
35055,35135,Chantepie,Kantpig
35056,35190,La Chapelle-aux-Filtzméens,Chapel-Hilveven
35057,35330,La Chapelle-Bouëxic,Chapel-ar-Veuzid
35058,35630,La Chapelle-Chaussée,Chapel-ar-Galc'hed
35059,35520,La Chapelle-des-Fougeretz,Chapel-Felgeriz
35061,35500,La Chapelle-Erbrée,Ar Chapel-Ervoreg
35062,35133,La Chapelle-Janson,Chapel-Yent
35063,35140,La Chapelle-Saint-Aubert,Chapel-Sant-Alverzh
35064,35660,La Chapelle-de-Brain,Chapel-Braen
35065,35590,La Chapelle-Thouarault,Bredual
35066,35131,Chartres-de-Bretagne,Karnod
35067,35250,Chasné-sur-Illet,Kadeneg
35068,35220,Châteaubourg,Kastell-Bourc'h
35070,35430,Châteauneuf-d'Ille-et-Vilaine,Kastell-Noez
35071,35133,Le Châtellier,Kasteller
35072,35210,Châtillon-en-Vendelais,Kastellan-Gwennel
35075,35490,Chauvigné,Kelvinieg
35076,35310,Chavagne,Kavan
35077,35640,Chelun,Kelon
35078,35120,Cherrueix,Kerruer
35079,35250,Chevaigné,Kavaneg
35080,35310,Cintré,Kentreg
35081,35590,Clayes,Kloued
35082,35134,Coësmes,Koem
35084,35330,Comblessac,Kamlec'hieg
35085,35270,Combourg,Komborn
35086,35210,Combourtillé,Komorzhel
35087,35500,Cornillé,Kornilieg
35088,35150,Corps-Nuds,Kornuz
35089,35320,La Couyère,Ar Gouer
35090,35320,Crevin,Kreven
35091,35290,Le Crouais,Ar Groez
35092,35270,Cuguen,Kugenn
35093,35800,Dinard,Dinarzh
35094,35440,Dingé,Dingad
35095,35120,Dol-de-Bretagne,Dol
35096,35113,Domagné,Dovanieg
35097,35680,Domalain,Domalan
35098,35390,La Dominelais,Doveneleg
35099,35410,Domloup,Domloup
35101,35450,Dourdain,Dourdan
35102,35130,Drouges,Drougez
35103,35640,Eancé,Aentieg
35104,35120,Epiniac,Sperneg
35105,35500,Erbrée,Ervored
35106,35620,Ercé-en-Lamée,Herzieg-Mez
35107,35340,Ercé-près-Liffré,Herzieg-Liverieg
35108,35150,Essé,Ezieg
35109,35370,Etrelles,Stredell
35110,35440,Feins,Finioù
35111,35420,Le Ferré,Ferred
35112,35133,Fleurigné,Flurinieg
35114,35640,Forges-la-Forêt,Govelioù-ar-C'hoad
35115,35300,Fougères,Felger
35116,35111,La Fresnais,An Onneg
35117,35290,Gaël,Gwazel
35118,35490,Gahard,Gwaharzh
35119,35370,Gennes-sur-Seiche,Gen
35120,35850,Gévezé,Gevrezeg
35121,35140,Gosné,Goneg
35122,35350,La Gouesnière,Gouenaer
35123,35580,Goven,Goven
35124,35390,Grand-Fougeray,Felgerieg-Veur
35125,35130,La Guerche-de-Bretagne,Gwerc'h-Breizh
35126,35580,Guichen,Gwizien
35127,35580,Guignen,Gwinien
35128,35440,Guipel,Gwipedel
35130,35630,Hédé-Bazouges,Hazhoù-Bazeleg
35131,35590,L'Hermitage,Ar Peniti
35132,35120,Hirel,Hirel
35133,35750,Iffendic,Ilfentig
35134,35630,Les,IffsAn Ivineg
35135,35850,Irodouër,Irodouer
35136,35150,Janzé,Gentieg
35137,35133,Javené,Yaoueneg
35138,35133,Laignelet,Kernoanig
35139,35890,Laillé,Lalieg
35140,35320,Lalleu,An Alloz
35141,35450,Landavran,Landavran
35142,35133,Landéan,Landean
35143,35360,Landujan,Landujan
35144,35850,Langan,Langan
35145,35660,Langon,Landegon
35146,35630,Langouet,Langoed
35148,35270,Lanrigan,Lanrigan
35149,35580,Lassy,Lazig
35150,35133,Lécousse,Eskuz
35151,35550,Lieuron,Luzron
35152,35340,Liffré,Liverieg
35153,35111,Lillemer,Enez-Veur
35154,35450,Livré-sur-Changeon,Liverieg-Kenton
35155,35550,Lohéac,Lohieg
35156,35190,Longaulnay,Hirwerneg
35157,35133,Le Loroux,Lavreer-an-Dezerzh
35159,35270,Lourmais,An Oulmeg
35160,35330,Loutehel,Loutehel
35161,35680,Louvigné-de-Bais,Louvigneg-Baez
35162,35420,Louvigné-du-Désert,Louvigneg-an-Dezerzh
35164,35560,Marcillé-Raoul,Marc'helleg-Raoul
35165,35240,Marcillé-Robert,Marc'helleg-Roperzh
35166,35220,Marpiré,Marbereg
35167,35640,Martigné-Ferchaud,Marzhinieg-Houarnruz
35169,35380,Maxent,Skirioù-Masen
35170,35450,Mecé,Mezieg
35171,35360,Médréac,Mederieg
35172,35270,Meillac,Melieg
35173,35520,Melesse,Meled
35174,35420,Mellé,Melleg
35175,35330,Mernel,Merenell
35177,35520,La Mézière,Magoer
35178,35140,Mézières-sur-Couesnon,Magoerioù-ar-C'houenon
35179,35540,Miniac-Morvan,Minieg-Morvan
35180,35190,Miniac-sous-Bécherel,Minieg-Begerel
35181,35870,Le,Minihic-sur-RanceMinic'hi-Poudour
35183,35370,Mondevert,Mondeverzh
35185,35210,Montautour,Menezaoter
35186,35120,Mont-Dol,Menez-Dol
35187,35160,Monterfil,Mousterfil
35188,35160,Montfort-sur-Meu,Moñforzh
35189,35760,Montgermont,Menezgervant
35190,35420,Monthault,Brennaod
35192,35210,Montreuil-des-Landes,Mousterel-al-Lann
35193,35520,Montreuil-le-Gast,Mousterel-ar-Gwast
35194,35500,Montreuil-sous-Pérouse,Mousterel-ar-Veineg
35195,35440,Montreuil-sur-Ille,Mousterel-an-Il
35196,35310,Mordelles,Morzhell
35197,35250,Mouazé,Moezeg
35198,35680,Moulins,Melined
35199,35130,Moussé,Moc'heg
35200,35130,Moutiers,Mousterioù
35201,35290,Muel,Moel
35202,35470,La Noë-Blanche,Ar Wazh-Wenn
35203,35137,La Nouaye,Lanwaz
35204,35410,Nouvoitou,Neveztell
35205,35560,Noyal-sous-Bazouges,Noal-Bazeleg
35206,35230,Noyal-Châtillon-sur-Seiche,Noal-Kastellan
35207,35530,Noyal-sur-Vilaine,Noal-ar-Gwilen
35208,35230,Orgères,An Heizeg
35210,35740,Pacé,Pazieg
35211,35380,Paimpont,Pempont
35212,35320,Pancé,Pantieg
35214,35210,Parcé,Parzieg
35215,35133,Parigné,Parinieg
35216,35850,Parthenay-de-Bretagne,Parzheneg
35217,35370,Le Pertre,Ar Perzh
35218,35320,Le Petit-Fougeray,Felgerieg-Vihan
35219,35550,Pipriac,Presperieg
35221,35470,Pléchâtel,Plegastell
35222,35610,Pleine-Fougères,Planfili
35223,35380,Plélan-le-Grand,Plelann-Veur
35224,35540,Plerguer,Plergar
35225,35720,Plesder,Pleder
35226,35720,Pleugueneuc,Plegeneg
35227,35137,Pleumeleuc,Pleveleg
35228,35730,Pleurtuit,Pleurestud
35229,35500,Pocé-les-Bois,Pozieg
35230,35420,Poilley,Polieg
35231,35320,Poligné,Polinieg
35232,35210,Princé,Priskieg
35233,35190,Québriac,Kevrieg
35234,35290,Quédillac,Kedilieg
35235,35130,Rannée,Radenez
35236,35600,Redon,Redon
35237,35660,Renac,Ranneg
35238,35000,Rennes,Roazhon
35239,35240,Retiers,Rester
35240,35650,Le Rheu,Reuz
35241,35780,La Richardais,Kerricharzh-an-Arvor
35242,35560,Rimou,Rivoù
35243,35133,Romagné,Rovenieg
35244,35490,Romazy,Rovazil
35245,35850,Romillé,Rovelieg
35246,35120,Roz-Landrieux,Roz-Lanrieg
35247,35610,Roz-sur-Couesnon,Roz-an-Arvor
35248,35610,Sains,Sent
35249,35390,Sainte-Anne-sur-Vilaine,Santez-Anna-ar-Gwilen
35250,35230,Saint-Armel,Sant-Armael-ar-Gilli
35251,35250,Saint-Aubin-d'Aubigné,Sant-Albin-Elvinieg
35252,35500,Saint-Aubin-des-Landes,Sant-Albin-al-Lann
35253,35140,Saint-Aubin-du-Cormier,Sant-Albin-an-Hiliber
35255,35114,Saint-Benoît-des-Ondes,Lanwezoù
35256,35800,Saint-Briac-sur-Mer,Sant-Briag
35258,35630,Saint-Brieuc-des-Iffs,Sant-Brieg-an-Ivineg
35259,35120,Saint-Broladre,Sant-Brewalaer
35260,35210,Saint-Christophe-des-Bois,Sant-Kristol-ar-C'hoad
35261,35140,Saint-Christophe-de-Valains,Sant-Kristol-Gwalen
35262,35134,Sainte-Colombe,Santez-Koulm
35263,35350,Saint-Coulomb,Sant-Kouloum
35264,35220,Saint-Didier,Sant-Ider
35265,35190,Saint-Domineuc,Landoveneg
35266,35230,Saint-Erblon,Sant-Ervlon-an-Dezerzh
35268,35550,Saint-Ganton,Sant-Weganton
35270,35610,Saint-Georges-de-Gréhaigne,Sant-Jord-Grehan
35271,35420,Saint-Georges-de-Reintembault,Sant-Jord-Restembaod
35272,35370,Saint-Germain-du-Pinel,Sant-Jermen-ar-Bineg
35273,35133,Saint-Germain-en-Coglès,Sant-Jermen-Gougleiz
35274,35250,Saint-Germain-sur-Ille,Sant-Jermen-an-Il
35275,35590,Saint-Gilles,Sant-Jili-Roazhon
35276,35630,Saint-Gondran,Sant-Gondran
35277,35750,Saint-Gonlay,Sant-Gonlei
35278,35760,Saint-Grégoire,Sant-Gregor
35279,35430,Saint-Guinoux,Sant-Gwênoù
35280,35140,Saint-Hilaire-des-Landes,Sant-Eler-al-Lann
35281,35136,Saint-Jacques-de-la-Lande,Sant-Jakez-al-Lann
35283,35220,Saint-Jean-sur-Vilaine,Sant-Yann-ar-Gwilen
35284,35430,Saint-Jouan-des-Guérets,Sant-Yowan-an-Havreg
35285,35550,Saint-Just,Sant-Yust
35286,35270,Saint-Léger-des-Prés,Sant-Lezer-ar-Pradeier
35287,35800,Saint-Lunaire,Sant-Luner
35288,35400,Saint-Malo,Sant-Maloù
35289,35480,Saint-Malo-de-Phily,Sant-Maloù-Fili
35290,35750,Saint-Malon-sur-Mel,Sant-Malon
35291,35120,Saint-Marcan,Sant-Marc'han
35294,35600,Sainte-Marie,Lokmaria-Redon
35295,35750,Saint-Maugan,Sant-Malgant
35296,35250,Saint-Médard-sur-Ille,Sant-Marzh-an-Il
35297,35290,Saint-Méen-le-Grand,Sant-Meven
35299,35350,Saint-Méloir-des-Ondes,Sant-Melar-ar-Mor
35300,35500,Saint-M'Hervé,Sant-Merve
35302,35290,Saint-Onen-la-Chapelle,Santez-Onenn
35304,35140,Saint-Ouen-des-Alleux,Sant-Owen-an-Alloz
35305,35380,Saint-Péran,Sant-Pêran
35306,35430,Saint-Père-Marc-en-Poulet,Sant-Pêr-Poualed
35307,35190,Saint-Pern,Sant-Pern
35309,35560,Saint-Rémy-du-Plain,Sant-Revig-ar-Plaen
35310,35133,Saint-Sauveur-des-Landes,Kersalver-al-Lann
35311,35330,Saint-Séglin,Sant-Sewenn
35312,35580,Saint-Senoux,Sant-Senour
35314,35430,Saint-Suliac,Sant-Suliav
35315,35250,Saint-Sulpice-la-Forêt,Sant-Suleg-ar-C'hoad
35316,35390,Saint-Sulpice-des-Landes,Sant-Suleg-al-Lann
35317,35630,Saint-Symphorien,Sant-Sinforian
35318,35190,Saint-Thual,Sant-Tual
35319,35310,Saint-Thurial,Sant-Turiav-Porc'hoed
35320,35360,Saint-Uniac,Sant-Tewiniav
35321,35320,Saulnières,Saoner
35322,35320,Le Sel-de-Bretagne,Ar Sal
35324,35133,La Selle-en-Luitré,Kell-Loezherieg
35325,35130,La Selle-Guerchaise,Kell-Gwerc'h
35326,35490,Sens-de-Bretagne,Sen
35327,35530,Servon-sur-Vilaine,Servon
35328,35550,Sixt-sur-Aff,Seizh
35329,35610,Sougéal,Sulial
35330,35500,Taillis,Talieg
35331,35160,Talensac,Talenseg
35332,35620,Teillay,Tilheg
35333,35240,Le Theil-de-Bretagne,An Tilh
35334,35235,Thorigné-Fouillard,Torigneg-Fouilharzh
35335,35134,Thourie,Tourig
35336,35460,Le Tiercent,An Tergant
35337,35190,Tinténiac,Tintenieg
35338,35370,Torcé,Tourc'heg
35339,35610,Trans-la-Forêt,Treant-ar-C'hoad
35340,35380,Treffendel,Trevendel
35342,35270,Trémeheuc,Tremaeg
35343,35320,Tresboeuf,Trevo
35345,35190,Trévérien,Treverian
35346,35190,Trimer,Tremeur
35347,35450,Val-d'Izé,Nant-Izeg
35350,35680,Vergéal,Gwerial
35351,35160,Le Verger,Gwerzher
35352,35770,Vern-sur-Seiche,Gwern-ar-Sec'h
35353,35132,Vezin-le-Coquet,Gwezin
35354,35610,Vieux-Viel,Henwiel
35355,35490,Vieux-Vy-sur-Couesnon,Henwig-ar-C'houenon
35356,35630,Vignoc,Gwinieg
35357,35420,Villamée,Gwilavez
35358,35430,La Ville-ès-Nonais,Kerlean
35359,35130,Visseiche,Gwisec'h
35360,35500,Vitré,Gwitreg
35361,35960,Le Vivier-sur-Mer,Gwiver
35362,35540,Le Tronchet,Ar Granneg
35363,35131,Pont-Péan,Pont-Pagan
44001,44170,Abbaretz,Abarrez
44002,44140,Aigrefeuille-sur-Maine,Kelenneg-ar-Mewan
44006,44410,Assérac,Azereg
44007,44460,Avessac,Avezeg
44009,44115,Basse-Goulaine,Goueled-Goulen
44010,44740,Batz-sur-Mer,Bourc'h-Baz
44012,44760,La Bernerie-en-Retz,Kerverner-Raez
44013,44160,Besné,Gwennenid
44014,44140,Le Bignon,Bignon
44015,44130,Blain,Blaen
44016,44430,La Boissière-du-Doré,Beuzid-an-Doured
44018,44830,Bouaye,Bouez
44019,44260,Bouée,Bozeg
44020,44340,Bouguenais,Kervegon
44022,44190,Boussay,Beuzid-Klison
44023,44130,Bouvron,Bolvronn
44024,44830,Brains,Brenn
44025,44750,Campbon,Kambon
44026,44470,Carquefou,Kerc'hfaou
44027,44390,Casson,Kazon
44028,44850,Le Cellier,Keller
44030,44410,La Chapelle-des-Marais,Chapel-ar-Geunioù
44031,44670,La Chapelle-Glain,Chapel-Glenn
44032,44330,La Chapelle-Heulin,Chapel-Huelin
44033,44260,La Chapelle-Launay,Chapel-ar-Wern
44035,44240,La Chapelle-sur-Erdre,Chapel-Erzh
44036,44110,Châteaubriant,Kastell-Briant
44037,44690,Château-Thébaud,Kastell-Tepaod
44038,44320,Chauvé,Kalveg
44039,44640,Cheix-en-Retz,Keiz-Raez
44041,44118,La Chevrolière,Kerc'hevrel
44043,44190,Clisson,Klison
44044,44290,Conquereuil,Konkerel
44045,44360,Cordemais,Kordevez
44046,44560,Corsept,Korzed
44047,44220,Couëron,Koeron
44048,44521,Couffé,Koufeg
44049,44490,Le Croisic,Ar Groazig
44050,44160,Crossac,Kroazieg
44051,44590,Derval,Derwal
44052,44480,Donges,Donez
44053,44530,Drefféac,Devrieg
44054,44110,Erbray,Ervoreg
44055,44500,La Baule-Escoublac,Ar Baol-Skoulag
44056,44130,Fay-de-Bretagne,Faouell
44057,44460,Fégréac,Fegerieg
44058,44660,Fercé,Ferreg
44061,44320,Frossay,Frozieg
44062,44130,Le Gâvre,Ar C'havr
44063,44190,Gétigné,Yestinieg
44064,44190,Gorges,Gored
44065,44520,Le Grand-Auverné,Arwerneg-Veur
44066,44119,Grandchamps-des-Fontaines,Gregamp-ar-Feunteunioù
44067,44290,Guémené-Penfao,Gwenvenez-Penfaou
44068,44530,Guenrouet,Gwenred
44069,44350,Guérande,Gwenrann
44070,44690,La Haye-Fouassière,An Hae-Foazer
44071,44115,Haute-Goulaine,Gorre-Goulen
44072,44410,Herbignac,Erbigneg
44073,44810,Héric,Hierig
44074,44610,Indre,Antr
44075,44520,Issé,Izeg
44076,44170,Jans,Hentieg
44077,44440,Joué-sur-Erdre,Yaoued
44078,44670,Juigné-des-Moutiers,Yaoueneg-ar-Mousterioù
44079,44430,Le Landreau,Lannerell
44080,44260,Lavau-sur-Loire,Gwal-Liger
44081,44650,Legé,Levieg
44082,44850,Ligné,Legneg
44083,44310,La Limouzinière,Kerlouevig
44084,44430,Le Loroux-Bottereau,Lavreer-Botorel
44085,44110,Louisfert,Lufer
44086,44590,Lusanger,Luzevieg
44088,44690,Maisdon-sur-Sèvre,Maezon-ar-Gwini
44089,44260,Malville,Kerwall
44090,44270,La Marne,Maeron
44091,44170,Marsac-sur-Don,Marzheg
44092,44290,Massérac,Merzhereg
44094,44470,Mauves-sur-Loire,Malvid
44095,44520,La Meilleraye-de-Bretagne,Melereg-Breizh
44096,44522,Mésanger,Mezansker
44097,44420,Mesquer,Mesker
44098,44780,Missillac,Merzhelieg
44099,44520,Moisdon-la-Rivière,Maezon-ar-Stêr
44100,44690,Monnières,Meliner
44101,44620,La Montagne,Ar Menez
44102,44140,Montbert,Monteverzh
44103,44550,Montoir-de-Bretagne,Mouster-al-Loc'h
44104,44370,Montrelais,Mousterlez
44105,44590,Mouais,Lanvoe
44106,44580,Les Moutiers-en-Retz,Mousteroù-Raez
44107,44850,Mouzeil,Mouzel
44108,44330,Mouzillon,Maodilon
44109,44000,Nantes,Naoned
44110,44390,Nort-sur-Erdre,Enorzh
44111,44130,Notre-Dame-des-Landes,Kernitron-al-Lann
44112,44110,Noyal-sur-Brutz,Noal-ar-Bruz
44113,44170,Nozay,Nozieg
44114,44700,Orvault,Orvez
44115,44521,Oudon,Oudon
44116,44560,Paimboeuf,Pembo
44117,44330,Le Pallet,Ar Palez
44118,44440,Pannecé,Panezeg
44119,44270,Paulx,Palud
44120,44640,Le Pellerin,Pentelloù
44121,44670,Petit-Auverné,Arwerneg-Vihan
44122,44390,Petit-Mars,Kervarc'h
44123,44290,Pierric,Pierig
44124,44540,Le Pin,Ar Bineg
44125,44420,Piriac-sur-Mer,Penc'herieg
44126,44770,La Plaine-sur-Mer,Plaen-Raez
44127,44140,La Planche,Ar Plank
44128,44630,Plessé,Plesei
44129,44160,Pontchâteau,Pontkastell-Keren
44130,44860,Pont-Saint-Martin,Pont-Marzhin
44131,44210,Pornic,Pornizh
44132,44380,Pornichet,Pornizhan
44133,44710,Port-Saint-Père,Porzh-Pêr
44134,44522,Pouillé-les-Côteaux,Paolieg-ar-Rozioù
44135,44510,Le Pouliguen,Ar Poulgwenn
44136,44770,Préfailles,Pradvael
44137,44260,Prinquiau,Prevenkel
44138,44390,Puceul,Puñsel
44139,44750,Quilly,Killig
44140,44330,La Regrippière,Skouvlant
44141,44430,La Remaudière,Kerravaot
44142,44140,Remouillé,Ruvelieg
44143,44400,Rezé,Reudied
44144,44440,Riaillé,Rialeg
44145,44640,Rouans,Rodent
44146,44660,Rougé,Ruzieg
44148,44660,Ruffigné,Ruzinieg
44149,44390,Saffré,Saverieg
44150,44860,Saint-Aignan-Grandlieu,Sant-Enion-al-Lenn-Veur
44151,44117,Saint-André-des-Eaux,Sant-Andrev-an-Doureier
44152,44160,Sainte-Anne-sur-Brivet,Santez-Anna-ar-Brived
44153,44110,Saint-Aubin-des-Châteaux,Sant-Albin-ar-C'hestell
44154,44250,Saint-Brevin-les-Pins,Sant-Brewenn
44155,44310,Saint-Colomban,Sant-Koulman
44156,44650,Corcoué-sur-Logne,Kerc'haoueg
44157,44270,Saint-Etienne-de-Mer-Morte,Sant-Stefan-Melveurzh
44158,44360,Saint-Étienne-de-Montluc,Sant-Stefan-Brengoloù
44159,44690,Saint-Fiacre-sur-Maine,Sant-Fieg-ar-Mewan
44161,44530,Saint-Gildas-des-Bois,Gweltaz-Lambrizig
44162,44800,Saint-Herblain,Sant-Ervlan
44164,44680,Saint-Hilaire-de-Chaléons,Sant-Eler-Kaleon
44165,44190,Saint-Hilaire-de-Clisson,Sant-Eler-Neved
44166,44640,Saint-Jean-de-Boiseau,Sant-Yann-ar-Granneg
44168,44720,Saint-Joachim,Sant-Yoasin
44169,44450,Saint-Julien-de-Concelles,Sant-Juluan-Kankell
44170,44670,Saint-Julien-de-Vouvantes,Sant-Juluan-Gouwent
44171,44710,Saint-Léger-les-Vignes,Sant-Lezer-ar-Gwiniegi
44172,44980,Sainte-Luce-sur-Loire,Santez-Lusenn
44173,44190,Saint-Lumine-de-Clisson,Sant-Leven-Klison
44174,44310,Saint-Lumine-de-Coutais,Sant-Leven-Ar-C'hoad
44175,44410,Saint-Lyphard,Sant-Lefer
44176,44550,Saint-Malo-de-Guersac,Sant-Maloù-Gwersac'h
44178,44680,Saint-Mars-de-Coutais,Sant-Marzh-ar-C'hoad
44179,44850,Saint-Mars-du-Désert,Sant-Marzh-an-Dezerzh
44182,44730,Saint-Michel-Chef-Chef,Sant-Mikael-Keveger
44183,44350,Saint-Molf,Sant-Molf
44184,44600,Saint-Nazaire,Sant-Nazer
44185,44460,Saint-Nicolas-de-Redon,Sant-Nikolaz-an-Hent
44186,44680,Sainte-Pazanne,Santez-Pezhenn
44187,44320,Saint-Père-en-Retz,Sant-Pêr-Raez
44188,44310,Saint-Philbert-de-Grand-Lieu,Sant-Filberzh-Deaz
44189,44160,Sainte-Reine-de-Bretagne,Santez-Rouanez-Breizh
44190,44230,Saint-Sébastien-sur-Loire,Sant-Sebastian-an-Enk
44192,44320,Saint-Viaud,Sant-Widel-Skovrid
44193,44590,Saint-Vincent-des-Landes,Sant-Visant-al-Lann
44194,44880,Sautron,Saotron
44195,44260,Savenay,Savenneg
44196,44530,Sévérac,Severeg
44197,44590,Sion-les-Mines,Hezin-ar-Mengleuzioù
44198,44840,Les Sorinières,Kersoren
44199,44110,Soudan,Saoudan
44200,44660,Soulvache,Soulvac'h
44201,44240,Sucé-sur-Erdre,Sulieg
44202,44440,Teillé,Tilhieg
44203,44360,Le Temple-de-Bretagne,Templ-Breizh
44204,44470,Thouaré-sur-Loire,Tarvieg
44205,44390,Les Touches,An Dosenneg
44206,44650,Touvois,Tolvez
44207,44440,Trans-sur-Erdre,Treant-an-Erzh
44208,44170,Treffieux,Trefieg
44209,44119,Treillières,Trelier
44210,44570,Trignac,Trinieg
44211,44420,La Turballe,An Turball
44212,44330,Vallet,Gwaled
44214,44170,Vay,Gwez
44215,44120,Vertou,Gwerzhav
44216,44116,Vieillevigne,Henwinieg
44217,44360,Vigneux-de-Bretagne,Gwinieg-Breizh
44218,44110,Villepot,Kerbod
44220,44640,Vue,Gwagenez
44221,44810,La Chevallerais,Kergaval
44222,44522,La Roche-Blanche,Ar Roc'h-Wenn
44223,44140,Geneston,Banaleg-ar-Gevred
44224,44170,La Grigonnais,Kerrigon
56001,56350,Allaire,Alaer
56002,56190,Ambon,Ambon
56003,56610,Arradon,Aradon
56004,56190,Arzal,Arzhal
56005,56640,Arzon,Arzhon-Rewiz
56006,56800,Augan,Algam
56007,56400,Auray,An Alre
56008,56870,Baden,Baden
56009,56360,Bangor,Bangor
56010,56150,Baud,Baod
56011,56350,Béganne,Begaon
56012,56380,Beignon,Benion
56013,56550,Belz,Belz
56014,56240,Berné,Berne
56015,56230,Berric,Berrig
56017,56500,Bignan,Begnen
56018,56190,Billiers,Beler
56019,56420,Billio,Bilioù
56020,56140,Bohal,Bohal
56021,56700,Brandérion,Prederion
56022,56390,Brandivy,Brandevi
56023,56400,Brech,Brec'h
56024,56580,Bréhan,Brehant-Loudieg
56025,56430,Brignac,Brennieg
56026,56310,Bubry,Bubri
56027,56420,Buléon,Buelion
56028,56220,Caden,Kaden
56029,56240,Calan,Kalann
56030,56130,Camoël,Kamoel
56031,56330,Camors,Kamorzh
56032,56800,Campénéac,Kempenieg
56034,56340,Carnac,Karnag
56035,56140,Caro,Karozh
56036,56850,Caudan,Kaodan
56039,56500,La Chapelle-Neuve,Ar Chapel-Nevez (56)
56040,56620,Cléguer,Kleger
56041,56480,Cléguérec,Klegereg
56042,56390,Colpo,Kolpoù
56043,56430,Concoret,Konkored
56044,56200,Cournon,Kornon
56045,56230,Le Cours,Ar C'hour
56046,56950,Crach,Krac'h
56047,56580,Crédin,Kerzhin
56048,56540,Le Croisty,Ar C'hroesti
56049,56920,Croixanvec,Kroeshañveg
56050,56120,La Croix-Helléan,Ar Groez-Helean
56051,56420,Cruguel,Krugell
56052,56750,Damgan,Damgan
56053,56250,Elven,An Elven
56054,56410,Erdeven,An Ardeven
56055,56410,Etel,An Intel
56056,56490,Evriguet,Evriged
56057,56320,Le Faouët,Ar Faoued
56058,56130,Férel,Ferel
56060,56200,Les Fougerêts,Felgerieg-al-Lann
56062,56680,Gâvres,Gavr
56063,56530,Gestel,Yestael
56065,56800,Gourhel,Gourhael
56066,56110,Gourin,Gourin
56067,56390,Grand-Champ,Gregam
56068,56120,La Grée-Saint-Laurent,Ar C'hrav-Sant-Laorañs
56069,56590,Groix,Groe
56070,56120,Guégon,Gwegon
56071,56420,Guéhenno,Gwezhennoù
56072,56920,Gueltas,Gweltaz
56073,56160,Guémené-sur-Scorff,Ar Gemene
56074,56150,Guénin,Gwennin
56075,56380,Guer,Gwern-Porc'hoed
56076,56310,Guern,Gwern
56077,56190,Le Guerno,Ar Gwernoù
56078,56520,Guidel,Gwidel
56079,56800,Guillac,Gilieg
56080,56490,Guilliers,Gwiler-Porc'hoed
56081,56560,Guiscriff,Gwiskri
56082,56120,Helléan,Helean
56083,56700,Hennebont,Henbont
